3, 43, -68, 35
31, -3, 24, 20
1, -39, 26, 1
31, 61, -35, 20
11, -4, 13, -28
-39, -24, 32, -24
15, 41, 2, 26
-33, 2, 36, 0
-25, 42, 11, -5
17, 23, 19, -43
-60, -61, 8, -10
-7, -2, -33, 31
16, 28, 36, -19
-47, -31, -12, 12
-11, -25, -6, 29
-24, -14, 66, -31
-57, 9, 23, -7
-9, 29, -6, 29
9, 5, -42, 1
-2, 49, 9, 26
-36, -1, 20, -21
-38, -67, -42, -30
15, -18, -33, 30
15, -12, -12, -12
-9, -6, 13, 16
-2, -11, -22, 55
2, -11, 24, 21
-32, -2, 37, 13
-22, -27, -16, 17
6, 13, 23, 13
-22, 44, 32, 14
-27, 15, 25, 25
-18, 10, 1, 38
8, 23, 22, -9
-7, 17, 44, -27
4, -25, 25, 19
65, -7, 3, 2
10, -5, 4, 6
6, -27, 37, 26
-2, 10, -37, 2
-33, -24, -29, -2
12, 16, 39, 2
-9, 30, -11, 28
11, -1, 24, 47
-13, 27, 27, 47
-18, -39, -28, 60
22, -23, 28, -3
-14, 11, 6, 9
44, 31, -18, 69
27, 44, 3, -14
-28, -25, -6, -10
20, 5, 3, -9
26, 14, -21, -54
-2, -15, -1, 9
21, 42, -25, 26
19, 1, -28, 30
-31, -30, 12, 26
11, 36, -36, 18
40, 8, -7, 23
14, 4, -11, 13
-19, 1, -36, -1
-40, -47, -16, -63
-4, -31, -11, -13
2, -28, 60, 9
-11, -20, 33, -62
-20, -25, -47, 3
1, -6, -17, 26
15, -5, 7, 10
-13, -33, -8, 65
-2, 5, 12, 20
-10, -25, 36, -41
-2, -29, 21, 1
-8, 3, -7, 22
-14, 18, 2, -1
-4, 29, 32, 27
-42, -20, -17, 26
7, -21, -30, -44
-2, -23, 56, 10
-16, -26, 78, 39
27, 19, 19, 18
-20, 23, -2, 65
32, 7, 21, 27
29, 15, -22, 11
-23, 1, -37, 5
3, -17, -5, 10
-33, 4, 13, 26
-4, -27, 56, -1
36, -34, 36, -14
30, 57, -2, -24
13, 52, -17, 4
-6, -2, 2, 33
-9, 12, 46, 21
14, 11, 21, 8
43, 7, 2, -19
0, 6, -62, -14
29, 12, -32, -2
29, 10, 72, -61
-19, -1, -58, -20
8, 19, -45, 34
20, 8, 45, -10
28, -3, -6, -1
22, 0, 27, 16
10, -3, 3, -6
13, -2, -15, -28
26, -2, -7, -46
-2, -7, 9, 5
-12, 5, 25, 26
7, 19, -36, -43
-5, -13, -1, -37
-10, 2, 4, -9
-13, -2, -3, 6
-7, -13, 16, 47
5, 54, -28, 18
5, 36, 25, -18
-13, -9, 54, 28
15, 24, 18, -1
17, 22, -15, 14
-3, -30, -7, 30
25, -21, 21, -37
23, 7, -26, 42
14, 18, -2, 7
-6, 6, -1, -20
2, -6, -36, 49
-5, 38, 29, -5
-14, 8, 42, 10
26, -25, -4, 13
-7, 13, 3, -21
3, 15, 15, -9
5, -19, -12, 2
-17, -43, -35, -4
49, -9, -55, -4
15, -11, -7, -2
8, -23, 32, -3
33, -31, -25, 29
-18, -49, -22, -25
-1, 27, 33, -33
-2, 3, 38, 36
2, -26, -14, -3
4, 13, -3, -19
-11, -42, 28, 5
32, -16, 2, 12
1, 3, 3, 11
-19, -14, -14, 6
14, 15, -27, 12
-32, -7, -26, -14
-42, -38, -15, 21
26, -48, 25, 26
37, 3, 26, -1
19, 41, 2, 48
19, 34, 0, -11
-6, 52, 4, -27
16, 30, -21, 30
29, -22, 12, 36
