-5, -38, 33, -41
-38, 27, -26, 22
-2, 39, -53, 29
-2, -52, -29, -34
-4, -41, -46, 6
-9, -10, -68, 55
4, -15, -3, -8
-14, 9, 19, -68
-32, 34, -22, -2
36, -32, -1, 15
36, -22, 43, -22
-1, 1, -15, -16
26, -48, -16, -17
5, -6, 44, 7
-34, -11, -10, -37
10, -6, -24, -28
16, 30, -19, 18
-6, -21, -17, 0
-10, -5, -31, 30
1, 32, -55, 25
31, -10, 32, -1
-25, -12, 46, -10
-4, 54, 19, 13
26, 41, 33, 50
-13, -6, 12, 6
-8, 43, -14, 16
-66, 34, -37, 72
-86, 8, 10, 2
-20, 57, -4, 12
9, 18, -61, 69
8, -6, 9, 12
25, -26, 24, 3
-1, -85, -15, -2
-28, -10, -13, 24
-23, 5, -28, 18
10, -21, -38, -20
27, 16, -2, 7
-15, -1, -10, -3
32, 15, -23, 5
6, -10, 8, -20
-34, -55, -49, 10
54, -10, -45, 26
17, -38, 6, -53
-2, -71, 6, -36
-15, -9, 38, -43
-24, 28, 2, 20
38, 40, -35, 45
-7, 9, 51, -56
-22, -21, 104, 11
-2, -44, 58, 38
2, -28, 3, -14
5, 54, -25, 11
-20, 10, 14, 7
-29, -19, 18, -29
-41, 30, 41, -12
-3, 17, 42, 25
21, 14, -69, 33
-12, 18, 18, 44
-35, -8, 83, 32
-39, 4, -4, -14
1, 8, -14, -8
-17, -41, -28, 33
10, -29, 31, -3
25, 18, 57, 10
-38, -4, -3, 39
4, -31, 21, 16
3, -8, 49, 10
-30, 6, 27, -21
-14, 3, 23, -12
-5, 6, 4, -36
-5, 20, -41, -30
-28, 33, -50, -14
-12, 16, -35, -76
17, -13, -17, -30
-2, -21, -5, -1
20, -51, 22, -44
16, -44, -7, 18
-12, 33, -37, 36
13, 31, 14, -26
-28, -16, 0, -15
-23, 8, -20, -24
20, 9, 51, 9
-23, -4, 66, 37
-9, 39, 14, 19
-19, -2, 1, 0
-31, -5, -13, -11
10, 39, -9, 71
-34, -42, -20, 9
7, -50, -16, -57
16, 8, 68, -15
-36, 11, 40, -29
-19, 8, -69, 17
-52, -15, -14, 6
15, 19, 55, -14
14, 20, 10, 14
-28, -43, 37, -4
18, 13, 40, 31
2, 8, -12, 32
11, -27, -14, -30
-20, -19, -18, -45
6, -18, -15, 7
51, 13, 27, 28
7, 3, 18, -28
1, 23, -16, -17
-10, -7, 11, 6
1, -42, 16, -16
-5, -15, -32, -47
-16, -27, -45, -51
44, -21, 15, -2
11, -15, -18, -12
-31, -36, -64, -28
9, -10, 0, 10
-31, -2, 36, 16
-33, -43, 11, -52
-3, -25, -28, -64
-26, 21, 11, 16
30, 34, 64, -10
36, -12, 31, -58
-13, -4, -43, -24
-10, 10, 27, -11
-16, -33, 87, -45
9, -22, 16, -61
-11, -9, 14, -7
-38, 51, -47, 14
-9, 55, -38, -17
-50, 2, 6, -14
-42, 24, -8, -15
-22, -35, 67, -1
-37, -88, 30, 18
-27, -22, -30, -32
-54, 21, -21, -47
-35, -21, -31, -33
-51, -19, -10, -3
-52, 37, -31, 46
18, -9, -29, 21
9, -21, 10, -5
26, -7, 12, -36
-11, 0, 26, -54
-62, 63, 2, -42
34, -14, 16, -1
30, -33, 29, 59
-12, 47, -28, -30
7, 2, -35, -50
-23, -8, 18, 22
2, -26, 39, -2
1, -44, 3, -25
-40, 12, 31, -4
8, -16, 17, 15
7, -18, -26, -27
-26, 9, 35, 9
25, 21, 26, 42
3, 20, -7, 10
-19, -59, -30, -3
18, -37, -59, -12
-8, -21, 25, 17
-9, -26, 32, -6
-18, 15, -31, -15
-25, 3, -25, 45
-21, 24, -23, 44
-21, -10, -41, -22
21, -46, -2, -37
-11, 17, 74, 3
-18, 3, 0, -36
29, -69, -55, -77
21, -36, -21, 14
6, 23, -42, 30
-18, -12, -5, -63
20, 22, 32, -36
53, 53, -12, 0
14, -22, -2, 3
-6, 12, 46, 3
-17, 1, -16, -39
14, -43, -29, -17
21, -12, -10, 8
9, -43, -44, -24
32, -6, 18, -30
37, 51, 16, 6
-28, -7, -10, 22
-111, -62, 35, 3
-22, -4, 22, 0
28, 4, 42, 19
-48, -30, 6, -17
6, 20, -63, -12
15, -50, -10, 26
-36, -63, 31, -48
3, 13, 33, -42
-12, -12, 6, 29
-5, 0, -8, 8
30, 14, -47, -36
-24, -11, -31, -25
-13, -34, 12, -6
31, 4, -42, -43
-23, 2, 17, 4
-9, -22, 64, 18
52, -10, 46, -68
-24, -27, 50, -38
-39, 7, -19, -5
3, 0, -25, 23
-22, -33, 17, 32
12, -41, -20, -21
16, -38, -17, -20
-23, 26, 35, -7
-27, 30, -4, 0
-10, -3, -22, -13
13, -18, 23, -11
-6, -37, 22, -2
-35, 19, 10, -33
-30, 16, -27, -6
-9, -27, -8, 43
-2, -3, 27, -2
-3, 11, -46, -55
-5, 34, -74, 5
23, 31, -19, 42
39, 45, -18, -32
-1, -16, -36, -23
-28, -43, -8, 2
-14, 67, -31, -15
3, 5, -27, 12
-4, -18, 19, 17
-12, 2, -3, 54
10, -25, -11, 11
12, 3, 2, -63
0, -22, -12, -35
11, 12, -10, -34
-14, -35, 12, -16
24, -76, 19, -13
27, -20, 31, -52
-65, -49, -7, -34
-11, -20, -6, -13
37, -16, 23, -11
-34, -24, 1, -1
2, 7, 14, -19
20, -26, -65, -3
-16, -40, -59, 20
