27, -28, 60, 64, 55, 8, 38, 85
18, -22, 22, 28, 42, 6, -45, 27
-21, -10, -86, -12, 8, 8, -8, 25
16, -36, -27, 41, -1, -24, -32, -10
-40, -14, 55, 7, 16, 21, -39, -15
-23, 13, 15, 12, 11, 26, 24, 65
4, 16, -1, -1, -24, -6, -34, -22
22, 30, 20, -18, 5, -36, 5, -3
49, -40, -2, 24, 0, 3, 9, 33
-20, -24, -8, 54, -4, 51, -38, -40
-7, 31, -34, 27, 0, -42, -11, 26
-13, 6, 7, -28, -9, -54, -34, -3
-43, -8, 25, 53, 17, 46, -21, -7
-37, 33, 32, 62, 13, 32, 25, 45
-14, 11, 67, 2, 36, -39, 7, -12
24, -19, -42, 106, 74, -3, -22, -14
-14, 0, 10, 93, 48, 25, -33, 7
-50, -42, 67, 63, -19, -25, -74, -1
-24, 27, -59, -7, -36, -6, -26, -42
13, 28, 28, -57, 4, 16, 86, 8
22, -19, 31, 55, 26, -32, -12, 46
-3, -6, -37, 20, -2, -43, -85, 31
12, -29, 65, -24, -19, 10, 22, 39
24, 29, 12, 29, 25, 22, -47, 27
-46, -31, -41, 85, 3, -19, -92, 40
-19, -56, 39, 70, -17, 3, -19, 41
10, 24, -10, 81, -11, 33, -32, 24
-18, -5, -51, 68, -36, -3, 6, 16
-10, 19, 30, -35, 6, -8, -48, 76
-18, 43, 0, 37, 20, 19, -69, 51
-3, -16, 56, 30, -12, 3, -1, 14
-11, -16, 69, -21, -11, -13, -49, 35
-1, 13, -22, 50, 12, 20, -23, -3
7, -9, -16, 35, 27, 41, 10, 14
-3, 3, -63, 38, -14, -3, -34, -22
20, 24, 5, 43, -44, -18, -34, 0
-23, -4, 18, -20, 24, -23, 21, 53
-16, 7, 34, -16, 48, -40, 50, 10
-6, 11, 158, 37, -25, 16, 31, 40
-45, -8, 77, -12, -21, 19, 6, 42
-15, 12, -30, -22, 1, -25, 8, 1
-18, 17, -9, 2, -52, 11, 28, -54
-6, 8, -18, -35, -46, 0, -17, -66
31, -12, -81, -24, 29, -26, 5, 36
7, -23, -72, -34, 3, 9, 28, 33
-5, 26, -18, -38, -4, 7, -44, -36
23, 45, 44, 23, -34, 15, 14, -9
-15, -20, 66, 34, -83, 40, 24, 14
-47, -42, -23, 37, 12, 43, -46, 18
13, 34, -10, 34, -9, 44, -6, 26
11, 14, 82, -44, 8, -22, 18, -10
-22, -51, -32, -7, 41, -26, -14, -37
5, -25, -93, 14, -19, 48, -29, 16
23, 14, 13, -53, 14, 12, -15, 20
-18, 23, -51, 14, -6, -19, -29, -39
-15, -28, -66, 46, -12, -36, -3, 7
15, -30, 86, -18, -36, -34, 26, 8
-12, 18, 54, -66, -54, 23, -2, -6
-14, 5, 24, -24, -4, 31, -8, -7
-28, -42, 25, -53, -5, 35, -14, -83
-9, -54, -85, -28, 36, 35, -45, -8
24, -3, -14, 117, 22, 34, -26, 50
-2, 20, 22, -44, -37, 26, 53, -18
19, 12, -22, -69, 1, 8, 63, 24
6, 7, 90, 83, 47, 10, 28, 9
-49, -19, 92, 28, 42, 11, 17, -38
-25, -38, 15, 42, 27, 0, 14, 5
13, -3, -43, 0, 8, 26, -5, -10
10, 8, -10, -40, -16, 12, 23, 5
