19, 47, 81, -26
17, 33, 36, -31
-4, 3, -4, 8
-63, -5, -19, 21
-20, 29, -43, 68
32, 47, 45, 55
40, 13, 36, 17
33, 3, -10, -15
-18, -19, -22, -4
-30, -2, -31, 35
2, 34, 43, -16
5, -7, 5, 11
-7, -6, -28, 61
-12, 13, 9, 6
-3, -5, -34, 24
33, 29, -28, 39
22, -5, 3, 3
0, -32, 32, 3
-9, -6, 60, -18
-30, -12, 22, 21
-18, -21, -15, 37
26, -54, -4, -1
46, 1, 22, 36
-3, 41, 28, 5
4, 10, -13, -49
43, -8, -20, 14
10, -6, 37, 38
-30, 30, 3, -45
-21, 21, -7, -14
2, 28, 8, 13
-14, 39, -19, 31
4, 18, 13, 78
37, 7, -15, -10
19, -4, -21, 0
-3, -19, -18, 25
-29, -38, 6, 0
-54, 0, 35, -1
-25, 29, -21, 21
7, -4, 8, 65
3, -17, 2, 8
-9, 24, -24, -6
-37, 17, -5, 5
-28, -43, -52, 45
14, -26, -28, 55
-14, -15, 13, 3
-31, 6, 1, 49
-1, 48, -1, -10
-15, 38, -22, -14
-7, 24, 0, 54
19, 1, 7, 31
3, -22, 1, 55
-6, -31, 31, -12
-5, 5, 5, -1
-9, 27, -16, 69
12, -15, -5, -18
50, -26, 21, -14
6, 13, 13, 26
-19, 8, 11, 1
-2, -52, 70, 8
-27, -27, 49, 17
17, -1, 3, 13
16, -4, -2, 15
-14, 45, 15, 9
16, 4, 18, -26
26, -45, -31, -67
7, 4, -4, -52
-34, 9, 11, -13
23, -10, -1, -15
17, 17, -16, -10
-32, -1, -63, -2
22, 3, 10, 0
-25, 41, 39, 2
-31, 30, 14, 4
-18, 10, 15, 24
-11, -6, -11, -14
63, 9, 10, -14
-26, 5, -21, 26
-63, 2, -21, -6
8, 1, -5, 9
0, -38, -57, 47
11, -35, -10, 12
-1, -29, 4, 12
-3, -13, -23, 39
-21, 2, 46, -38
-49, -39, 19, -44
9, -67, -24, 16
9, -25, 26, -8
-40, 1, 22, -3
-26, 17, 11, -32
-29, 27, 17, -37
-26, -23, -21, -4
-1, 10, -32, -10
-25, 40, 36, -10
12, 22, 58, -24
27, 23, 41, 18
-22, 2, 37, 32
-11, 4, 6, -2
-22, 5, 4, 0
-23, -3, 38, -32
-2, -23, 17, -30
-5, -24, -49, 3
2, -16, -24, 0
24, 19, 15, 13
18, 21, -12, 3
