14, -24, 26, -34
18, -7, 37, 5
-3, 10, 38, 10
-40, -14, -15, 11
-31, -46, -60, -36
-13, -20, 5, -8
4, 20, -35, 9
34, -26, -28, -44
6, -44, -14, -9
-3, 26, -23, -41
19, -4, 17, 3
5, -17, 29, 51
-12, 4, 25, -33
-3, -1, -4, -4
1, 24, 27, -17
-23, 33, 3, -19
-25, 23, -18, -11
-13, -18, 24, -28
-11, -1, -47, 11
0, 46, -20, -25
-5, 48, 52, 17
15, 9, 12, 32
5, -12, 18, 9
-12, 42, -2, 23
-26, 6, -47, -20
-71, -22, -32, 15
-37, 2, -25, 3
-9, -2, -29, -28
6, 63, 7, 47
34, 54, 73, 12
-20, -8, 75, -43
0, -7, -7, 36
48, 10, -9, 25
-35, 23, 31, -9
-18, -4, 13, 8
4, -4, -16, -47
-44, 1, -31, -5
3, -12, -2, 9
-6, 44, -9, -17
-19, 20, -4, 46
2, -50, -6, -10
6, -8, -37, -27
21, -21, 15, 7
-16, -45, -1, -3
-27, -21, -24, 16
-24, -16, 13, -44
-29, 35, -39, -34
4, 3, -19, 7
-36, -59, 20, -7
-47, 5, -39, 2
27, 11, -18, -24
-45, -10, -35, -18
-83, 4, -38, 2
8, 1, 21, -7
-14, 39, -24, 6
-27, -19, 10, 15
31, -74, 59, 13
17, -12, 13, 32
-16, -43, 3, 26
10, -44, -28, -23
5, 4, -38, -46
-10, 1, -10, -18
30, 10, -33, -19
-2, -7, -2, -8
-29, 25, 7, 28
-12, 51, -36, -12
-1, 12, -20, 18
71, -1, -46, 73
32, 6, -20, 11
-35, 17, 6, -22
20, -24, -22, -17
-15, -32, 11, -16
0, -13, -4, -8
54, -17, -14, -15
-24, 15, -12, -22
-15, -3, 6, -9
5, -12, 0, -15
-18, 15, -51, 21
-7, -34, 44, 54
-24, -46, 22, -9
-35, 20, -53, -3
-53, 2, 5, 2
-29, -6, -34, 15
14, 31, 2, 41
-2, -12, -10, -10
-34, -28, -64, 9
-29, -14, 16, 33
-20, -44, -20, -14
-20, -48, -12, -22
-4, -36, 20, -6
-30, -47, -29, -17
-13, -14, -6, 48
7, -18, 9, 51
2, -11, 41, -14
24, 46, 61, 20
-39, 7, 13, 30
-46, 1, 0, 15
-8, -9, -15, 7
-21, -16, 2, -13
-4, 23, 48, -14
-37, -32, 17, 1
-33, -19, -2, 4
-13, 8, 36, 29
-18, -47, 37, 28
36, -6, 36, -18
10, 1, 47, -24
-37, -37, -5, -15
-36, -16, 2, 1
-15, -10, 11, -6
-32, -4, -31, -17
-66, -9, -32, 35
-30, 28, -30, 67
-27, 46, 9, -4
-24, 9, 20, -7
-26, 37, -5, 39
-15, 22, -50, 9
26, -50, -44, 9
-10, -15, 11, -29
2, 63, -17, -58
47, 3, -18, -19
8, -28, -28, -11
-9, 19, 6, 5
5, -14, 40, -24
30, 1, -27, -19
22, 26, 12, 25
10, -12, 28, -35
-6, 13, -43, -28
3, 51, -43, 17
66, -4, -17, -16
