6, 2, -78, 0
-11, -12, 80, -23
16, 13, 19, -8
-13, 14, -29, 1
-7, 11, 39, -15
7, 26, -27, -27
-1, 74, 20, 2
16, 7, 25, -3
5, -9, -12, -31
23, 26, 27, -8
-7, 11, 1, 10
-40, 13, -57, -32
-22, 10, -45, -15
-12, 49, 27, 34
37, 12, -29, -6
26, -72, -39, -30
-12, -52, 42, -11
-36, -27, -10, -30
-47, -52, -53, -18
26, -26, -34, 54
46, 35, 8, 31
25, 5, 11, -22
0, -20, 11, 14
-30, -4, 2, 44
-23, -41, -30, -19
-36, -24, 38, -51
-45, -17, -1, 37
-57, -20, -33, 23
-15, 24, 26, -60
18, -9, 13, -17
8, -12, 19, 15
-4, 19, -18, -2
-59, 40, -46, 32
-37, 12, -10, 26
-19, -34, -1, 3
-8, 41, -50, -13
20, 15, -48, -27
4, -54, 10, 48
-22, 23, 16, 22
-26, 17, 31, -30
30, -3, 0, 33
22, 0, 6, 3
14, -19, -8, -20
9, 1, -86, 5
-25, -29, 3, 21
20, -4, 32, 30
17, 20, -15, -5
-5, 16, -10, -17
7, 31, -4, -2
7, 16, -11, -5
-24, 21, -60, -32
-24, 30, -49, -9
34, 37, 13, 50
-3, -1, 20, 3
-3, -12, 3, 6
30, 31, -13, 55
-14, -7, -29, -13
1, -34, 9, 1
9, 30, 7, 8
-1, 9, -57, -28
17, -14, -56, -1
9, 19, -16, -20
0, -38, 8, 4
4, 4, -14, 48
-6, 13, -40, -38
-13, -47, 5, -42
8, 49, 7, 48
7, 24, -16, 5
19, -6, 15, 18
1, 18, -8, 24
-21, -60, -5, -31
41, 0, 4, 30
51, 70, -11, -11
5, 27, -9, -14
8, 32, -19, 71
-5, 28, 25, 19
-33, 0, -28, 34
-8, 33, -35, 31
-21, 43, 38, -33
-14, 32, -8, -11
0, 26, -7, -40
-10, -10, 8, -39
-14, -23, -22, -15
-41, -19, -4, -13
3, 2, 41, 27
31, 20, -26, -15
31, -6, -44, -11
18, -39, 45, 41
-28, -11, -49, 20
-18, 2, -52, -3
-25, -38, 62, 27
-41, -12, -3, 26
5, 13, 6, -1
-9, -3, 21, 16
1, -35, -4, -19
31, -54, 50, -16
-25, -5, -18, -11
-33, 29, -50, -3
-10, 20, 34, -1
-2, -22, 50, -20
-21, -9, 10, 56
-24, 28, -18, 35
18, -5, 15, 3
-1, -14, -33, 65
-36, -46, -22, 63
-10, -21, 41, 28
-56, 43, -30, 6
-72, -7, 4, -4
-1, -14, -24, 7
-39, -18, -67, 27
11, -32, 16, 34
55, -3, -51, 28
-27, -31, -20, 15
-23, -13, 41, -10
-29, 8, -41, 13
19, -22, 21, 37
42, 19, 46, -15
0, 2, 4, 14
31, -28, 37, 0
-1, 31, -5, -37
4, -2, 7, -17
16, -15, 24, -38
-33, 22, -32, 25
-11, -9, -1, 10
20, 8, 17, 17
37, -24, 1, 41
4, -57, 30, -41
-27, 8, 34, 7
4, 22, -16, 18
24, -8, -31, -66
22, -3, -30, -25
9, 35, -30, 67
13, 16, -34, -12
2, 16, -40, -96
6, 34, 38, 8
3, -5, 41, 46
10, 15, -33, -20
70, 35, -65, -12
33, 7, -60, -8
-54, 14, -31, -14
-65, 28, 19, 43
4, 14, 69, 0
16, -22, 13, -67
-21, -20, -8, 0
20, 20, 7, 13
20, -7, -31, -2
-11, 17, 17, 2
-13, 60, -1, 6
19, 1, -45, 32
56, 6, 17, -7
3, -11, 17, -16
-25, -56, -22, 11
-12, 20, -31, 8
2, 30, -19, -11
36, -24, -4, -18
-6, 48, -21, -15
-23, 33, -51, -24
47, -4, 0, -11
38, 19, 60, 17
-24, -36, -10, 66
-24, 11, -52, 51
-33, -5, -25, -7
-39, -37, -3, 14
20, -10, 33, 34
11, -13, -10, -1
-41, 24, -49, -2
7, 15, -12, 12
37, 7, 23, 0
17, -10, 55, 10
36, -3, 6, 19
29, 33, -5, 15
23, 37, 37, 1
22, 23, 8, 59
9, -16, 31, 74
15, -21, 36, 32
8, -2, 20, 45
31, 11, -4, -34
-14, 25, -4, -7
-32, 21, 48, 14
41, 28, -11, -50
-7, 18, -6, 26
34, -17, 17, 2
52, -20, 1, -15
-58, -8, 48, 7
-11, -10, 42, -24
15, -48, 29, 34
6, -24, -2, 7
10, 20, -43, -68
-5, 3, -34, 8
7, -10, -27, 47
-33, -31, -21, -6
-57, 3, -3, -22
-34, 5, 4, -34
32, -29, 5, -9
37, 2, 0, 10
-4, -15, 0, -43
14, -5, 0, 8
-8, 16, -12, 39
-11, -37, 14, -11
16, -25, 4, 40
-8, -11, -28, 16
-38, -21, -5, 15
-11, 4, -12, 23
31, 3, -16, -28
-11, 25, -28, 22
-20, 28, -36, 0
26, -30, -4, -18
-32, -21, -4, -21
-29, 16, -24, -25
-2, -4, -2, 26
-34, -15, 35, 26
24, 5, -5, 38
39, -31, -38, -13
21, -50, 17, -32
25, 2, 17, 68
-9, 45, -41, 53
-20, 35, 3, -7
45, -9, 5, 23
58, 14, -38, 28
17, 8, -16, 5
32, -33, -34, -15
22, -17, -24, 4
38, 6, -17, 34
22, 18, -24, 17
-4, -7, 35, 54
59, 40, -10, 43
10, 47, -50, -2
-44, -5, 41, 2
34, 49, 34, -4
27, 40, 16, 9
5, 22, 33, 32
36, 26, -4, 10
0, 30, 19, -29
23, 41, 12, -11
33, -1, -54, -23
-32, 36, 0, -41
-11, 48, 12, -20
22, 43, -33, -10
-3, 58, 37, -16
-7, -18, 21, -31
-5, -31, -12, -11
-34, 8, 49, -4
-5, -31, 47, -27
11, -19, 6, -20
-10, 45, 40, 15
18, 18, 49, 29
26, -30, -24, -26
14, -10, -11, -19
13, 33, 0, 32
6, 1, -22, -9
7, -24, -12, 16
-14, 7, 15, 49
-7, 0, 72, 6
36, -15, -4, -8
25, -9, -23, 24
35, 31, 47, 0
12, 17, -55, -38
-25, -29, -68, 32
-6, -6, 39, 9
-12, -5, -40, -23
18, 18, -67, 9
13, 31, 35, -35
-29, -7, -18, -35
7, -48, -11, 5
20, -19, 36, 9
4, 50, -22, 12
22, -4, -9, 8
14, -31, 11, 21
-18, -5, 1, 30
-12, 19, 10, -31
-13, 61, 24, -19
0, 20, -1, 17
5, -26, 14, -7
-33, 17, 17, 39
20, 31, -49, 51
34, -2, -11, -7
-9, 31, 15, 0
35, 22, 3, 43
-2, -31, 39, 33
-33, -39, 33, 16
25, -34, -10, -3
1, 1, -31, -15
2, -27, -19, 10
30, -52, -18, -46
6, 27, 10, -35
5, 13, 15, 57
22, -36, -42, -15
-16, -13, -42, -24
-1, 1, 9, 40
47, -10, 12, 31
-12, -39, -24, 34
1, 1, 18, -35
24, 35, 19, -19
-14, 28, -11, -6
-12, 16, 12, -51
-7, -44, -34, -26
8, -33, -13, -67
3, 37, -25, -7
31, -10, -51, 54
28, -33, 23, -11
-20, 17, -9, -43
11, -21, 8, -30
33, -25, -12, 15
8, -8, -28, 23
13, -34, 85, -41
51, -35, 2, -50
13, 6, -30, 57
-9, 23, 60, 14
20, -5, 15, -60
-19, 3, 8, -22
0, 14, 39, 1
31, -10, 32, 32
5, -21, 43, -28
12, -22, 26, -22
23, -28, 13, -7
-1, -6, 45, -34
-25, -27, -2, 34
15, -40, -31, 31
0, 16, 11, 40
-22, 39, -8, 30
56, 22, 0, -36
25, -5, -28, -56
-19, -1, -39, -43
5, 14, 17, -29
-11, -19, -29, -11
14, 19, -25, 26
31, 24, 11, 8
36, -28, -13, 0
58, 8, 3, -5
-5, -15, 18, -17
-32, 0, -6, -5
-3, 30, -33, -24
9, -3, -27, -20
34, 42, 7, -23
5, 48, 15, -14
1, 0, -29, -14
34, 12, -32, -42
-3, 47, 27, -17
-12, -12, -14, -2
30, -33, -25, 6
43, 57, 26, 32
16, 13, -34, 4
-13, -37, -32, -27
27, 28, -2, -5
37, 28, -15, 5
-3, 21, -5, 21
30, 18, -18, 2
27, -23, 12, -16
0, 19, 37, 39
